Country,Population_2022,Population_2023,Growth_percent,Continent,Subregion,Country (groups)
India,1425423212,1438069596,0.89,Asia,Southern Asia,Other
China,1425179569,1422584933,-0.18,Asia,Eastern Asia,China
United States,341534046,343477335,0.57,Americas,Northern America,Other
Indonesia,278830529,281190067,0.85,Asia,South-eastern Asia,Other
Pakistan,243700667,247504495,1.56,Asia,Southern Asia,Other
Nigeria,223150896,227882945,2.12,Africa,Western Africa,Other
Brazil,210306415,211140729,0.4,Americas,South America,Other
Bangladesh,169384897,171466990,1.23,Asia,Southern Asia,Other
Russia,145579899,145440500,-0.1,Europe,Eastern Europe,Other
Mexico,128613117,129739759,0.88,Americas,Central America,Other
Ethiopia,125384287,128691692,2.64,Africa,Eastern Africa,Other
Japan,124997578,124370947,-0.5,Asia,Eastern Asia,Other
Philippines,113964338,114891199,0.81,Asia,South-eastern Asia,Other
Egypt,112618250,114535772,1.7,Africa,Northern Africa,Other
DR Congo,102396968,105789731,3.31,Africa,Middle Africa,Other
Vietnam,99680655,100352192,0.67,Asia,South-eastern Asia,Other
Iran,89524246,90608707,1.21,Asia,Southern Asia,Other
Turkey,87058473,87270501,0.24,Asia,Western Asia,Other
Germany,84086227,84548231,0.55,Europe,Western Europe,Other
Thailand,71735329,71702435,-0.05,Asia,South-eastern Asia,Other
United Kingdom,68179315,68682962,0.74,Europe,Northern Europe,Other
Tanzaniab,64711821,66617606,2.95,Africa,Eastern Africa,Other
France,66277409,66438822,0.24,Europe,Western Europe,Other
South Africa,62378410,63212384,1.34,Africa,Southern Africa,Other
Italy,59619115,59499453,-0.2,Europe,Southern Europe,Other
Kenya,54252461,55339003,2,Africa,Eastern Africa,Other
Myanmar,53756787,54133798,0.7,Asia,South-eastern Asia,Other
Colombia,51737944,52321152,1.13,Americas,South America,Other
South Korea,51782512,51748739,-0.07,Asia,Eastern Asia,Other
Sudan,49383346,50042791,1.34,Africa,Northern Africa,Other
Uganda,47312719,48656601,2.84,Africa,Eastern Africa,Other
Spaind,47828382,47911579,0.17,Europe,Southern Europe,Other
Algeria,45477389,46164219,1.51,Africa,Northern Africa,Other
Argentina,45407904,45538401,0.29,Americas,South America,Other
Iraq,44070551,45074049,2.28,Asia,Western Asia,Other
Afghanistan,40578842,41454761,2.16,Asia,Southern Asia,Other
Yemen,38222876,39390799,3.06,Asia,Western Asia,Other
Canada,38821259,39299105,1.23,Americas,Northern America,Other
Poland,38385739,38762844,0.98,Europe,Eastern Europe,Other
Ukrainee,41048766,37732836,-8.08,Europe,Eastern Europe,Other
Morocco,37329064,37712505,1.03,Africa,Northern Africa,Other
Angola,35635029,36749906,3.13,Africa,Middle Africa,Other
Uzbekistan,34938955,35652307,2.04,Asia,Central Asia,Other
Malaysia,34695493,35126298,1.24,Asia,South-eastern Asia,Other
Peru,33475438,33845617,1.11,Americas,South America,Other
Ghana,33149152,33787914,1.93,Africa,Western Africa,Other
Mozambique,32656246,33635160,3,Africa,Eastern Africa,Other
Saudi Arabia,32175352,32264292,0.28,Asia,Western Asia,Other
